source	gene	pmid	pmc_id	doi	year	bucket	title
production	PTPRU	41580424	PMC12936105	10.1038/s41467-026-68761-1	2026	pmc	A stabilized tandem antigen chimera that elicits potent malaria transmission-reducing activity
production	PTPRU	37967584		10.1071/rd23121	2023	no_oa	RGMb expression in goat uterine tissues: possible role of RGMb in the proliferation and apoptosis of
production	PTPRU	40362634	PMC12072392	10.3390/ijms26094398	2025	pmc	A Positive Feedback DNA-PK/MYT1L-CXCR1-ERK1/2 Proliferative Signaling Loop in Glioblastoma
production	FAM180B	36348101	PMC11803048	10.1007/s00018-022-04614-6	2022	no_oa	Omics-based biomarkers discovery for Alzheimer's disease
production	FAM180B	24780589	PMC4199189	10.5414/np300691	2014	pmc	Spectrum of genes involved in a unique case of Potocki Schaffer syndrome with a large chromosome 11 
production	FAM180B	32354168	PMC7246837	10.3390/ijms21093107	2020	pmc	Changes in Whole-Blood microRNA Profiles during the Onset and Treatment Process of Cerebral Infarcti
production	FAM180B	36325427	PMC9618774	10.1016/j.bbih.2022.100530	2022	pmc	Immune system disruptions implicated in whole blood epigenome-wide association study of depression a
production	FAM180B	36833265	PMC9957421	10.3390/genes14020338	2023	pmc	Genetic Factors Implicated in the Investigation of Possible Connections between Alzheimer's Disease 
production	FAM180B	40456762	PMC12130345	10.1038/s41467-025-59340-x	2025	pmc	An unbiased tissue transcriptome analysis identifies potential markers for skin phenotypes and thera
production	FAM180B	39254468	PMC11622404	10.5935/1518-0557.20240052	2024	pmc	Exploring the Link between Premature Ovarian Insufficiency, Insomnia and Circadian Pathways
production	FAM180B	36000239	PMC9427046	10.1080/21623945.2022.2111053	2022	pmc	Comparative transcriptomic analysis of rabbit interscapular brown adipose tissue whitening under phy
