source	feature	feature_type	in_n	out_n	in_summary	out_summary	effect	effect_kind	effect_ci_lo	effect_ci_hi	aux_effect	aux_effect_kind	aux_effect_ci_lo	aux_effect_ci_hi	p_value	q_value
hpa	up_has_signal	binary	1121	2889	0.37823371989295274	0.3752163378331603	0.0030173820597924617	prop_diff			0.013128002506464589	log_or	-0.1290949709789284	0.15535097599185757	0.884489197132461	0.9666907953789722
hpa	up_has_tm	binary	1121	2889	0.687778768956289	0.8407753547940464	-0.15299658583775744	prop_diff			-0.8741519328220254	log_or	-1.0349723313115846	-0.7133315343324663	9.191687767354657e-26	3.3779452545028364e-25
hpa	up_multi_pass	binary	1121	2889	0.3345227475468332	0.503288335064036	-0.16876558751720283	prop_diff			-0.7002861241491933	log_or	-0.8441405567559187	-0.556431691542468	3.6306914062491384e-22	1.2411898528340077e-21
hpa	up_has_extracellular_topo	binary	1121	2889	0.6226583407671722	0.7684319833852544	-0.14577364261808223	prop_diff			-0.6985748449960223	log_or	-0.8470300027853925	-0.550119687206652	8.940973792068005e-20	2.9207181054088817e-19
hpa	up_has_glyc	binary	1121	2889	0.592328278322926	0.7151263412945656	-0.12279806297163964	prop_diff			-0.546790090896368	log_or	-0.6906722787744481	-0.4029079030182879	1.5724494423587755e-13	4.5323542750341177e-13
hpa	up_has_lipidation	binary	1121	2889	0.13826940231935772	0.09726548978885427	0.04100391253050345	prop_diff			0.39936260785360556	log_or	0.19008004083335647	0.6086451748738546	0.0002355565555792221	0.00042227821548958104
hpa	deeptm_TM_NO_SP	binary	655	1690	0.39541984732824426	0.44260355029585796	-0.047183702967613705	prop_diff			-0.1934546230064766	log_or	-0.3770329350721302	-0.009876310940822947	0.04078387511243477	0.05877676119145011
hpa	deeptm_SP_plus_TM	binary	655	1690	0.5511450381679389	0.4952662721893491	0.05587876597858982	prop_diff			0.2239073170424517	log_or	0.04291202486939388	0.4049026092155095	0.016638801634970977	0.025215503508667355
hpa	deeptm_SP_only	binary	655	1690	0.051908396946564885	0.05798816568047337	-0.006079768733908489	prop_diff			-0.10817274764517647	log_or	-0.5068520951615106	0.29050659987115773	0.618255794610995	0.6991046292908943
hpa	deeptm_BETA	binary	655	1690	0.0	0.000591715976331361	-0.000591715976331361	prop_diff			-0.15182268571751953	log_or	-3.3537597619169346	3.050114390481896	1.0	1.0
hpa	deeptm_GLOB	binary	655	1690	0.0015267175572519084	0.0035502958579881655	-0.002023578300736257	prop_diff			-0.5209845912967741	log_or	-2.2986887646697562	1.256719582076208	0.6809985436557104	0.7612683339725432
hpa	topo_gpi_anchored	binary	1121	2889	0.030330062444246207	0.036690896503980615	-0.006360834059734408	prop_diff			-0.18735801645144243	log_or	-0.5776588296882676	0.20294279678538282	0.3881325345411614	0.4582769684943834
hpa	topo_intramembrane	binary	1121	2889	0.0	0.0	0.0	prop_diff			0.9464164017975697	log_or	-2.9741900456501207	4.86702284924526	1.0	1.0
hpa	topo_gpcr_7tm	binary	1121	2889	0.09812667261373774	0.24195223260643822	-0.14382555999270047	prop_diff			-1.0726548225015755	log_or	-1.2866856903399628	-0.8586239546631882	7.684408007617177e-27	2.9726525713676975e-26
hpa	topo_multi_pass_tm	binary	1121	2889	0.23639607493309545	0.2613361024575978	-0.02494002752450236	prop_diff			-0.1326315525969586	log_or	-0.2933771404619996	0.028114035268082344	0.10620717947616409	0.14389359799996423
hpa	topo_single_pass_tm	binary	1121	2889	0.35057983942908116	0.33714087919695396	0.013438960232127206	prop_diff			0.05990288741528657	log_or	-0.08495429128627621	0.20476006611684935	0.435720896319715	0.5124077740719848
hpa	topo_signal_only_secreted	binary	1121	2889	0.010704727921498661	0.025268258913118725	-0.014563530991620064	prop_diff			-0.8399712459484154	log_or	-1.4436442448469309	-0.2362982470499	0.0031711610520866124	0.005066963854964478
hpa	topo_inner_leaflet_lipidated	binary	1121	2889	0.04103479036574487	0.017307026652821047	0.023727763712923827	prop_diff			0.888321286921699	log_or	0.48383250441368986	1.292810069429708	2.6593084635883393e-05	5.282680326317376e-05
hpa	topo_palmitoylated_only	binary	1121	2889	0.019625334522747548	0.008307372793354102	0.011317961729393446	prop_diff			0.8727295156566693	log_or	0.2962120673465162	1.4492469639668224	0.004377171290384448	0.006918754620285096
hpa	topo_no_tm_no_signal	binary	1121	2889	0.21320249776984834	0.07199723087573555	0.14120526689411278	prop_diff			1.249987205227642	log_or	1.0493613286212509	1.450613081834033	1.1133943073656835e-33	5.279643973637273e-33
hpa	fam_gpcr	binary	1710	3746	0.018128654970760234	0.02562733582487987	-0.007498680854119637	prop_diff			-0.3431874480695599	log_or	-0.7495180750207454	0.06314317888162557	0.09965127119828127	0.13563645246432726
