gene_symbol	gene_symbol_aliases	matched_surfaceome_gene_symbol	lookup_match_source	lookup_match_input_symbol	target_name	control_class	control_group	is_pinned_specified_negative	in_m1_candidate_universe	matched_m1_gene_symbol	m1_match_source	in_parent_surfaceome_2379	surfaceome_label	label_source	uniprot_id	has_cell_membrane_uniprot	passes_topology_gate	uniprot_subcellular	provenance	source_note
ROR1		ROR1	direct_symbol	ROR1	ROR1	positive_surfaceome	patent_delivery_handles	no	yes	ROR1	direct_symbol	yes	surface	machine learning	Q01973	False	True	Membrane (Single-pass type I membrane protein)	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
SEZ6		SEZ6	direct_symbol	SEZ6	SEZ6	positive_surfaceome	patent_delivery_handles	no	yes	SEZ6	direct_symbol	yes	surface	machine learning	Q53EL9	True	True	Cell membrane (Single-pass type I membrane protein)	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
SLC34A2		SLC34A2	direct_symbol	SLC34A2	SLC34A2 (NaPi2b)	positive_surfaceome	patent_delivery_handles	no	yes	SLC34A2	direct_symbol	yes	surface	machine learning	O95436	False	True	Membrane (Multi-pass membrane protein)	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
SLC39A6		SLC39A6	direct_symbol	SLC39A6	SLC39A6 (LIV-1)	positive_surfaceome	patent_delivery_handles	no	yes	SLC39A6	direct_symbol	yes	surface	pos. trainingset	Q13433	True	True	Cell membrane (Multi-pass membrane protein)	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
STEAP1			unmatched		STEAP1	positive_surfaceome	patent_delivery_handles	no	no		unmatched	no							canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
TM4SF1		TM4SF1	direct_symbol	TM4SF1	TM4SF1	positive_surfaceome	patent_delivery_handles	no	yes	TM4SF1	direct_symbol	yes	surface	machine learning	P30408	False	True	Membrane (Multi-pass membrane protein)	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
TNFRSF10B			unmatched		TNFRSF10B (DR5)	positive_surfaceome	patent_delivery_handles	no	no		unmatched	no							canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Highlight/broader handle list in WO2024036333A2.
TPBG		TPBG	direct_symbol	TPBG	5T4 (TPBG)	positive_surfaceome	patent_delivery_handles	no	yes	TPBG	direct_symbol	yes	surface	pos. trainingset	Q13641	True	True	Cell membrane (Single-pass type I membrane protein)	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
VTCN1		VTCN1	direct_symbol	VTCN1	B7-H4 (VTCN1)	positive_surfaceome	patent_delivery_handles	no	yes	VTCN1	direct_symbol	yes	surface	machine learning	Q7Z7D3	True	True	Cell membrane (Single-pass type I membrane protein)	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
DMXL2		DMXL2	direct_symbol	DMXL2	DMXL2	negative_non_surfaceome	additional_negative_from_2379	no	yes	DMXL2	direct_symbol	yes	nonsurface	machine learning	Q8TDJ6	False	True	Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane (Peripheral membrane protein)	surfaceome_expressed.csv (parent repo) candidates with nonsurface label and non-cell-membrane UniProt localization	Added as likely non-surface negative control from 2,379-list request
EXTL2		EXTL2	direct_symbol	EXTL2	EXTL2	negative_non_surfaceome	additional_negative_from_2379	no	yes	EXTL2	direct_symbol	yes	nonsurface	machine learning	Q9UBQ6	False	True	Endoplasmic reticulum membrane (Single-pass type II membrane protein);Secreted	surfaceome_expressed.csv (parent repo) candidates with nonsurface label and non-cell-membrane UniProt localization	Added as likely non-surface negative control from 2,379-list request
GALNT1		GALNT1	direct_symbol	GALNT1	GALNT1	negative_non_surfaceome	additional_negative_from_2379	no	yes	GALNT1	direct_symbol	yes	nonsurface	machine learning	Q10472	False	True	Golgi apparatus, Golgi stack membrane (Single-pass type II membrane protein);Secreted	surfaceome_expressed.csv (parent repo) candidates with nonsurface label and non-cell-membrane UniProt localization	Added as likely non-surface negative control from 2,379-list request
GPR137B		GPR137B	direct_symbol	GPR137B	GPR137B	negative_non_surfaceome	additional_negative_from_2379	no	yes	GPR137B	direct_symbol	yes	surface	machine learning	O60478	False	True	Lysosome membrane (Multi-pass membrane protein)	surfaceome_expressed.csv (parent repo) candidates with nonsurface label and non-cell-membrane UniProt localization	Added as likely non-surface negative control from 2,379-list request
