gene_symbol	uniprot_id	uniprot_name	surfaceome_label	label_source	already_in_control_panel	internal_compartment_hint	has_cell_membrane_uniprot	has_gpi_uniprot	is_only_secreted_uniprot	uniprot_subcellular	max_tpm_gtex	max_ntpm_hpa_tissue	max_tpm_hpa_celline	max_tpm_tcga	max_expression_any
TNFRSF10A	O00220	TR10A_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass type I membrane protein)	27.1627	13.1	72.6	58.83796646238366	72.6
FRRS1	Q6ZNA5	FRRS1_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Multi-pass membrane protein)	12.1262	26.7	72.2	55.76059796019452	72.2
SLC5A9	Q2M3M2	SC5A9_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Multi-pass membrane protein)	39.1847	40.9	13.7	71.9478638337762	71.9478638337762
DSG4	Q86SJ6	DSG4_HUMAN	surface	machine learning	False	False	True	False	False	Cell junction, desmosome;Cell membrane (Single-pass type I membrane protein)	0.535573	2.4	71.4	66.93915562743227	71.4
SLC44A5	Q8NCS7	CTL5_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Multi-pass membrane protein)	6.30266	10.1	71.4	63.09164813576735	71.4
CLEC12B	Q2HXU8	CL12B_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Single-pass type II membrane protein)	16.9756	12.5	28.6	70.06778622128522	70.06778622128522
RRH	O14718	OPSX_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Multi-pass membrane protein)	0.871225	70.0	1.5	32.68951046568598	70.0
PCDHB16	Q9NRJ7	PCDBG_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass type I membrane protein)	10.2191	5.3	69.7	63.61862663350188	69.7
CCR5	P51681	CCR5_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Multi-pass membrane protein)	18.6985	14.5	50.1	69.1606316453723	69.1606316453723
PCDHGB3	Q9Y5G1	PCDGF_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Single-pass type I membrane protein)	2.72811	1.1	8.6	68.94046256003656	68.94046256003656
SLC26A8	Q96RN1	S26A8_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Multi-pass membrane protein)	68.8705	41.2	10.9	21.2992727622948	68.8705
CRHR2	Q13324	CRFR2_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Multi-pass membrane protein)	7.4097	20.9	68.5	20.519585644195967	68.5
TLR5	O60602	TLR5_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass type I membrane protein)	14.5815	12.7	13.3	67.88772097203629	67.88772097203629
OTOP1	Q7RTM1	OTOP1_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Multi-pass membrane protein);Secreted, extracellular space	0.311556	0.2	66.4	15.840093258348434	66.4
SSTR5	P35346	SSR5_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Multi-pass membrane protein)	19.4995	3.9	60.3	66.38927395758738	66.38927395758738
